title,description,image_url,imdb_url,rating,popularity,release_time
Firestarter ,A young girl tries to understand how she mysteriously gained the power to set things on fire with her mind.,https://m.media-amazon.com/images/M/MV5BMDQ2MTk1NDItYjVmZC00YzI4LTkyOTctMTEwM2FhYWEwM2RjXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,https://www.imdb.com/title/tt1798632/,,134,13 May 2022
The Innocents ,"During the bright Nordic summer, a group of children reveal their dark and mysterious powers when the adults aren't looking. In this original and gripping supernatural thriller, playtime tak...",https://m.media-amazon.com/images/M/MV5BMzk3Yzc4ODktYjA5ZS00YjgyLTg4YWMtZTFkYWE2OWIwYjU4XkEyXkFqcGdeQXVyNTkyMDY4NzA@._V1_.jpg,https://www.imdb.com/title/tt4028464/,7.0,615,13 May 2022
Fast Charlie ,,,https://www.imdb.com/title/tt6722400/,,None,17 March 2023
Haunted Mansion ,,,https://www.imdb.com/title/tt1695843/,,"3,144",10 March 2023
Knock at the Cabin ,,,https://www.imdb.com/title/tt15679400/,,"2,721",03 February 2023
It’s All Coming Back to Me ,,,https://www.imdb.com/title/tt10276482/,,"1,341",10 February 2023
Dungeons & Dragons ,,,https://www.imdb.com/title/tt2906216/,,875,03 March 2023
A Man Called Otto ,,,https://www.imdb.com/title/tt7405458/,,"3,800",25 December 2022
Creed III ,Third installment of the 'Creed' franchise.,,https://www.imdb.com/title/tt11145118/,,"1,479",23 November 2022
Aquaman and the Lost Kingdom ,Plot unknown. Sequel to the 2018 film 'Aquaman.',https://m.media-amazon.com/images/M/MV5BMDhkYzY4ZTEtOTcwOS00ZjZjLWIxZDctOTA0Y2E3MzVlZWY0XkEyXkFqcGdeQXVyNjc0NzQzNTM@._V1_.jpg,https://www.imdb.com/title/tt9663764/,,244,17 March 2023
Strange World ,,,https://www.imdb.com/title/tt10298840/,,"2,850",23 November 2022
She Said ,,,https://www.imdb.com/title/tt14807308/,,None,18 November 2022
The Fabelmans ,"A semi-autobiography based on Spielberg's own childhood growing up in post-war Arizona, from age seven to eighteen.",,https://www.imdb.com/title/tt14208870/,,"1,365",23 November 2022
John Wick: Chapter 4 ,,https://m.media-amazon.com/images/M/MV5BODc3YmY0NzctYzk0OS00NDJkLThjOWMtMTFhMjYxNmMwZGQ3XkEyXkFqcGdeQXVyMTMyNzM5NDc5._V1_.jpg,https://www.imdb.com/title/tt10366206/,,536,24 March 2023
Thirteen Lives ,,,https://www.imdb.com/title/tt12262116/,,"3,373",18 November 2022
Bitch Ass ,,,https://www.imdb.com/title/tt13991504/,,None,15 December 2022
Kraven the Hunter ,Russian immigrant Sergei Kravinoff is on a mission to prove that he is the greatest hunter in the world.,None,https://www.imdb.com/title/tt8790086/,,"1,480",13 January 2023
Babylon ,Plot unknown. Rumored to be set in period Hollywood.,https://m.media-amazon.com/images/M/MV5BZjczMWMyNDUtNmFhNS00MjVhLTg4ODItNDA2MzE5MTUyYjMwXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_.jpg,https://www.imdb.com/title/tt10640346/,,683,06 January 2023
Amsterdam ,,,https://www.imdb.com/title/tt10304142/,,713,04 November 2022
The Marvels ,Sequel of the 2019 title 'Captain Marvel'.,https://m.media-amazon.com/images/M/MV5BNjQ4NzQ2MmUtMTUwYi00ZTVhLWI5Y2MtYWM3ZmM5MTc1OGEyXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_.jpg,https://www.imdb.com/title/tt10676048/,,681,17 February 2023
The Menu ,,,https://www.imdb.com/title/tt9764362/,,"1,309",18 November 2022
Spellbound ,,,https://www.imdb.com/title/tt7215232/,,None,11 November 2022
Shazam! Fury of the Gods ,Sequel to the 2019 film 'Shazam!'. Plot details are not yet known.,https://m.media-amazon.com/images/M/MV5BZTViOTY3MDQtOWQ5MC00ZDc4LTk3NmUtY2Q5MTc5NmRjOTBmXkEyXkFqcGdeQXVyMTIxMDA3OTIz._V1_.jpg,https://www.imdb.com/title/tt10151854/,,"1,266",16 December 2022
Avatar: The Way of Water ,"Jake Sully lives with his newfound family formed on the planet of Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of t...",https://m.media-amazon.com/images/M/MV5BNmM1NmY4N2QtNmVkOS00MjMyLWI5ZGUtYWYxMDRjY2MzNDdiXkEyXkFqcGdeQXVyMTAwMDAwMA@@._V1_.jpg,https://www.imdb.com/title/tt1630029/,,90,16 December 2022
The Devil's Light ,,,https://www.imdb.com/title/tt9271672/,8.1,"2,807",28 October 2022
Ticket to Paradise ,,,https://www.imdb.com/title/tt14109724/,,"1,347",21 October 2022
TÁR ,,,https://www.imdb.com/title/tt14444726/,,None,07 October 2022
Till ,,,https://www.imdb.com/title/tt4960748/,,None,07 October 2022
"Lyle, Lyle, Crocodile ",,,https://www.imdb.com/title/tt14668630/,,"4,229",07 October 2022
Black Panther: Wakanda Forever ,A sequel that will continue to explore the world of Wakanda and all the characters introduced in the 2018 film.,https://m.media-amazon.com/images/M/MV5BMmMxMjlmMGYtZDQ3Ni00NmIyLWJjZmItOTMyYzc5YzFlY2UxXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg,https://www.imdb.com/title/tt9114286/,,214,11 November 2022
Bros ,Two men with commitment problems attempt a relationship.,,https://www.imdb.com/title/tt9731598/,,None,30 September 2022
The Woman King ,,,https://www.imdb.com/title/tt8093700/,,"2,885",16 September 2022
Eye See You ,A lead detective being stalked by a serial killer is asked to check into a clinic treating law enforcement officials who can't face their jobs.,https://m.media-amazon.com/images/M/MV5BODEzNWMxMzktOTFlYy00NmQ3LWFkODctYzliMmZlOWVmMjJjXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_.jpg,https://www.imdb.com/title/tt0160184/,5.3,"4,528",04 November 2022
Don't Worry Darling ,,,https://www.imdb.com/title/tt10731256/,,405,23 September 2022
"Are You There God? It's Me, Margaret ",,,https://www.imdb.com/title/tt9185206/,,None,16 September 2022
Dark Harvest ,,,https://www.imdb.com/title/tt9204328/,,"3,819",09 September 2022
Salem's Lot ,,,https://www.imdb.com/title/tt10245072/,,"1,648",09 September 2022
Halloween Ends ,The saga of Michael Myers and Laurie Strode comes to a spine-chilling climax in this final installment of the franchise.,https://m.media-amazon.com/images/M/MV5BZmFkMGVkYmQtMGNiYy00NzQyLTlhMjYtY2ZjZmFhMGJjYTliXkEyXkFqcGdeQXVyMTA3MDAxNDcw._V1_.jpg,https://www.imdb.com/title/tt10665342/,,345,14 October 2022
The Monkey King: The Legend Begins ,"The Monkey King: The Legend Begins is the re-imagined version by Hollywood of the film The Monkey King: Havoc in Heavens Palace, the origin and birthplace of The Monkey King Story.",https://m.media-amazon.com/images/M/MV5BNWIzNGRlM2QtNzVlMS00YTkxLWEzY2ItZmJlMjVjYWFhMWUwXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg,https://www.imdb.com/title/tt9692040/,,"4,722",02 November 2022
Samaritan ,,,https://www.imdb.com/title/tt5500218/,,"2,129",26 August 2022
Black Adam ,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods-and imprisoned just as quickly-Black Adam (Johnson) is freed from his earthly tomb, ready to unleash hi...",https://m.media-amazon.com/images/M/MV5BMmIwOGJmZGUtZWJjNS00NTE1LTg4Y2YtMDAzM2I5MTgyNGE2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,https://www.imdb.com/title/tt6443346/,,330,21 October 2022
Beast ,,,https://www.imdb.com/title/tt13223398/,,"4,727",19 August 2022
Three Thousand Years of Longing ,,,https://www.imdb.com/title/tt9198364/,,"2,735",31 August 2022
Puss in Boots: The Last Wish ,Puss in Boots discovers that his passion for adventure has taken its toll: he has burned through eight of his nine lives. Puss sets out on an epic journey to find the mythical Last Wish and ...,https://m.media-amazon.com/images/M/MV5BMTcyMDM2MmUtZWU2NS00ZWUyLWFkZDUtMWM4ZGQ4ZDZiZmNkXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,https://www.imdb.com/title/tt3915174/,,"2,150",23 September 2022
I Love My Dad ,,,https://www.imdb.com/title/tt14935966/,7.7,"4,914",05 August 2022
Vengeance ,,,https://www.imdb.com/title/tt11976532/,,None,29 July 2022
Secret Headquarters ,,,https://www.imdb.com/title/tt14001894/,,"3,692",05 August 2022
Guns 3: Alias Billy the Kid ,,,https://www.imdb.com/title/tt13917358/,,"3,436",03 August 2022
Brahmastra ,First part of superhero trilogy.,https://m.media-amazon.com/images/M/MV5BZjY2MmI1ZWItNmU0Yy00NTdkLWJiYmQtNzFlZWNlMzkxZTZjXkEyXkFqcGdeQXVyNjkwOTg4MTA@._V1_.jpg,https://www.imdb.com/title/tt6277462/,,"3,411",09 September 2022
Resurrection ,,,https://www.imdb.com/title/tt11540726/,6.9,"2,294",05 August 2022
After Ever Happy ,"As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other. Tessa is no longer the sweet, simple, good girl she was when she met...",https://m.media-amazon.com/images/M/MV5BYWUwMjZmZGYtYjIyOS00YTY2LWFiMjMtNWYyMjdlNmUwY2FmXkEyXkFqcGdeQXVyMTUzNDkzNDY@._V1_.jpg,https://www.imdb.com/title/tt13070038/,,801,07 September 2022
The Wrong Place ,,,https://www.imdb.com/title/tt15837458/,,"4,006",15 July 2022
Bodies Bodies Bodies ,"When a group of rich 20-somethings plan a hurricane party at a remote family mansion, a party game turns deadly in this fresh and funny look at backstabbing, fake friends, and one party gone...",https://m.media-amazon.com/images/M/MV5BNGY5MWQ0ZWUtNjIwZi00MWFhLTkxYTYtMjlmOWI1NmM2Y2Y1XkEyXkFqcGdeQXVyMTQyMTMwOTk0._V1_.jpg,https://www.imdb.com/title/tt8110652/,6.7,"2,037",05 August 2022
DC League of Super-Pets ,"Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime side by side in Metropolis. However, Krypto must master his own powers for a r...",https://m.media-amazon.com/images/M/MV5BYmNiZTIyMWQtOTAwZC00ZTBiLWFjMjMtODhhNWE3MDFlMjJkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,https://www.imdb.com/title/tt8912936/,,"1,121",29 July 2022
Mr. Malcolm's List ,,,https://www.imdb.com/title/tt12545566/,,"2,354",01 July 2022
Brian and Charles ,,,https://www.imdb.com/title/tt13270424/,8.1,"4,912",17 June 2022
Nope ,The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.,https://m.media-amazon.com/images/M/MV5BMzNiNzg3ODEtNWUxZS00MTVmLTgxZDMtYTZmMjcwMGZiMjRlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,https://www.imdb.com/title/tt10954984/,,218,22 July 2022
Mrs Harris Goes to Paris ,"A widowed cleaning lady in 1950s London falls madly in love with a couture Dior dress, and decides that she must have one of her own.",https://m.media-amazon.com/images/M/MV5BODdlNDdjOWUtNDYwNy00ZWViLWI2MjItZTMwZTVhOTk3ZjMxXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_.jpg,https://www.imdb.com/title/tt5151570/,,"4,430",15 July 2022
The Gray Man ,"When the CIA's most skilled operative-whose true identity is known to none-accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a...",https://m.media-amazon.com/images/M/MV5BMzRlYjQ1ZTctOWIxZC00ZThhLWFkNjgtY2IxZjk1YzVlMDg4XkEyXkFqcGdeQXVyODk1MDkyMTU@._V1_.jpg,https://www.imdb.com/title/tt1649418/,,376,15 July 2022
The Lost Girls ,,,https://www.imdb.com/title/tt1023464/,,"3,442",17 June 2022
Paws of Fury: The Legend of Hank ,"Hank, a loveable dog with a head full of dreams about becoming a samurai, sets off in search of his destiny.",https://m.media-amazon.com/images/M/MV5BYzJiOWM1MzktNWRjMS00ZmJmLTlhNTEtZTUwNmFhZDk5MDAyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,https://www.imdb.com/title/tt4428398/,,"2,075",15 July 2022
Where the Crawdads Sing ,A woman who raised herself in the marshes of the deep South becomes a suspect in the murder of a man she was once involved with.,https://m.media-amazon.com/images/M/MV5BYTcxZTEwYWItMjRkNS00ZTVhLWJkM2MtYjMzYjk5YjgwMmJkXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg,https://www.imdb.com/title/tt9411972/,,252,15 July 2022
Minions: The Rise of Gru ,The untold story of one twelve-year-old's dream to become the world's greatest supervillain.,https://m.media-amazon.com/images/M/MV5BZDQyODUwM2MtNzA0YS00ZjdmLTgzMjItZWRjN2YyYWE5ZTNjXkEyXkFqcGdeQXVyMTI2MzY1MjM1._V1_.jpg,https://www.imdb.com/title/tt5113044/,,856,01 July 2022
Elvis ,"A look at the life of the legendary rock and roll star, Elvis Presley.",https://m.media-amazon.com/images/M/MV5BNjhiODE0ZjktYzVhYS00ODRlLTkwZjYtYjRlNjg5YzI1MzZlXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg,https://www.imdb.com/title/tt3704428/,,166,24 June 2022
Bullet Train ,Five assassins aboard a fast moving bullet train find out their missions have something in common.,https://m.media-amazon.com/images/M/MV5BMmU5NGMyNDctMTA4Yi00ZGM3LWJjOTAtMjQzNTNmZjI5NzA4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,https://www.imdb.com/title/tt12593682/,,383,29 July 2022
Marcel the Shell with Shoes On ,Feature adaptation of the animated short film interviewing a mollusk named Marcel.,https://m.media-amazon.com/images/M/MV5BODgzZGEwZGQtZjA2Mi00OTI5LWIwZmYtZDQ4OTMxODE0YmU4XkEyXkFqcGdeQXVyOTQ5MDIyNDM@._V1_.jpg,https://www.imdb.com/title/tt15339456/,7.6,"1,404",24 June 2022
Terror on the Prairie ,,,https://www.imdb.com/title/tt14043966/,,"2,324",09 June 2022
Dashcam ,Two friends on a horror-fueled road trip and livestream the most terrifying night of their lives.,,https://www.imdb.com/title/tt15174116/,,None,03 June 2022
The Black Phone ,"After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims.",https://m.media-amazon.com/images/M/MV5BOWVmNTBiYTUtZWQ3Yi00ZDlhLTgyYjUtNzBhZjM3YjRiNGRkXkEyXkFqcGdeQXVyNzYyOTM1ODI@._V1_.jpg,https://www.imdb.com/title/tt7144666/,7.5,263,24 June 2022
Lightyear ,The story of Buzz Lightyear and his adventures to infinity and beyond.,https://m.media-amazon.com/images/M/MV5BYjYwYThlODYtNTkxYy00M2Y4LTllYWItMTVjYzQ5ZDVlNWQ5XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,https://www.imdb.com/title/tt10298810/,,62,17 June 2022
Wolf Hound ,,,https://www.imdb.com/title/tt7319486/,,"4,616",03 June 2022
Official Competition ,A wealthy businessman hires a famous filmmaker to help make a smash hit film.,https://m.media-amazon.com/images/M/MV5BNTk3NjgxODMtOWFlNi00MTQ1LWI1ZWMtZjQ0OTJhYjEzYWJjXkEyXkFqcGdeQXVyNDM1ODc2NzE@._V1_.jpg,https://www.imdb.com/title/tt11700260/,7.2,"2,087",17 June 2022
Look at Me: XXXTentacion ,,,https://www.imdb.com/title/tt10723416/,6.9,"3,469",26 May 2022
Thor: Love and Thunder ,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",https://m.media-amazon.com/images/M/MV5BMzJjZWYzNTctODgwOS00OGNiLTg4MjktMDlmNWUxNjczMzljXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_.jpg,https://www.imdb.com/title/tt10648342/,,3,08 July 2022
Watcher ,A young woman moves into a new apartment with her fiancé only to be tormented by the feeling that she is being stalked by an unseen watcher in an adjacent building.,https://m.media-amazon.com/images/M/MV5BMTNkNjU4OGYtODM3NS00NzM1LWFkZWItZTExNzdjYTAwMmRlXkEyXkFqcGdeQXVyMTE1MzI2NzIz._V1_.jpg,https://www.imdb.com/title/tt12004038/,6.7,"2,589",03 June 2022
Jurassic World Dominion ,"Four years after the destruction of Isla Nublar, dinosaurs now live--and hunt--alongside humans all over the world. This fragile balance will reshape the future and determine, once and for a...",https://m.media-amazon.com/images/M/MV5BZmQ1NDZjMTktMjFhZC00ZGY5LWEyMTMtNDhkOWM4NmMyZjI0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,https://www.imdb.com/title/tt8041270/,,52,10 June 2022
The Bob's Burgers Movie ,"The Belchers try to save the restaurant from closing as a sinkhole forms in front of it, while the kids try to solve a mystery that could save their family's restaurant.",https://m.media-amazon.com/images/M/MV5BOTViMjM4MDAtNWMyNC00NzQyLTlkMTUtY2U5NDkyNDUzODAyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,https://www.imdb.com/title/tt7466442/,,"1,731",27 May 2022
Top Gun: Maverick ,"After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in r...",https://m.media-amazon.com/images/M/MV5BMmIwZDMyYWUtNTU0ZS00ODJhLTg2ZmEtMTk5ZmYzODcxODYxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,https://www.imdb.com/title/tt1745960/,,41,27 May 2022
Men ,A young woman goes on a solo vacation to the English countryside following the death of her ex-husband.,https://m.media-amazon.com/images/M/MV5BZGQ2ZDNiMjgtMTNhNS00MjUxLWFkYTMtYTI1OTE0MmQ2MmJkXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_.jpg,https://www.imdb.com/title/tt13841850/,,270,20 May 2022
The Last Victim ,"The Last Victim is a Neo Western thriller set in the American southwest, following Sheriff Hickey trying to solve the worst case he has seen in his small town, likely caused by a violent loc...",https://m.media-amazon.com/images/M/MV5BN2Q1MTgwOWEtNTYxOC00Njg2LWFkMDgtY2JkYjIxZWNkMzBmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,https://www.imdb.com/title/tt11242718/,,"4,415",13 May 2022
Downton Abbey: A New Era ,Follow-up to the 2019 feature film in which the Crawley family and Downton staff received a royal visit from the King and Queen of Great Britain.,https://m.media-amazon.com/images/M/MV5BZDdjZjM1YWItNWRmOS00OTEzLWJmYjAtOGQzNTAyNmEwNDhjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,https://www.imdb.com/title/tt11703710/,7.4,107,20 May 2022
Around the World in 80 Days ,A bookish marmoset embarks on a wild adventure to travel around the planet in 80 days after accepting a challenge from a greedy frog.,https://m.media-amazon.com/images/M/MV5BMDhlOTg4MjMtNTEyNi00ZWJlLThlMjMtNTM0MTI4ZjZmYzZlXkEyXkFqcGdeQXVyMjMwODE4ODI@._V1_.jpg,https://www.imdb.com/title/tt10341040/,4.7,"3,408",13 May 2022
